zscode,zcode,sido,sigungu
44200,44,충청남도,아산시
44210,44,충청남도,서산시
44230,44,충청남도,논산시
44250,44,충청남도,계룡시
44270,44,충청남도,당진시
44710,44,충청남도,금산군
44760,44,충청남도,부여군
44770,44,충청남도,서천군
44790,44,충청남도,청양군
44800,44,충청남도,홍성군
44810,44,충청남도,예산군
44825,44,충청남도,태안군
46110,46,전라남도,목포시
46130,46,전라남도,여수시
46150,46,전라남도,순천시
46170,46,전라남도,나주시
46230,46,전라남도,광양시
46710,46,전라남도,담양군
46720,46,전라남도,곡성군
46730,46,전라남도,구례군
46770,46,전라남도,고흥군
46780,46,전라남도,보성군
46790,46,전라남도,화순군
46800,46,전라남도,장흥군
46810,46,전라남도,강진군
46820,46,전라남도,해남군
46830,46,전라남도,영암군
46840,46,전라남도,무안군
46860,46,전라남도,함평군
46870,46,전라남도,영광군
46880,46,전라남도,장성군
46890,46,전라남도,완도군
46900,46,전라남도,진도군
46910,46,전라남도,신안군
47110,47,경상북도,포항시
47130,47,경상북도,경주시
47150,47,경상북도,김천시
47170,47,경상북도,안동시
47190,47,경상북도,구미시
47210,47,경상북도,영주시
47230,47,경상북도,영천시
47250,47,경상북도,상주시
47280,47,경상북도,문경시
47290,47,경상북도,경산시
47720,47,경상북도,군위군
47730,47,경상북도,의성군
47750,47,경상북도,청송군
47760,47,경상북도,영양군
47770,47,경상북도,영덕군
47820,47,경상북도,청도군
47830,47,경상북도,고령군
47840,47,경상북도,성주군
47850,47,경상북도,칠곡군
47900,47,경상북도,예천군
47920,47,경상북도,봉화군
47930,47,경상북도,울진군
47940,47,경상북도,울릉군
48120,48,경상남도,창원시
48170,48,경상남도,진주시
48220,48,경상남도,통영시
48240,48,경상남도,사천시
48250,48,경상남도,김해시
48270,48,경상남도,밀양시
48310,48,경상남도,거제시
48330,48,경상남도,양산시
48720,48,경상남도,의령군
48730,48,경상남도,함안군
48740,48,경상남도,창녕군
48820,48,경상남도,고성군
48840,48,경상남도,남해군
48850,48,경상남도,하동군
48860,48,경상남도,산청군
48870,48,경상남도,함양군
48880,48,경상남도,거창군
48890,48,경상남도,합천군
50110,50,제주특별자치도,제주시
50130,50,제주특별자치도,서귀포시
51110,51,강원특별자치도,춘천시
51130,51,강원특별자치도,원주시
51150,51,강원특별자치도,강릉시
51170,51,강원특별자치도,동해시
51190,51,강원특별자치도,태백시
51210,51,강원특별자치도,속초시
51230,51,강원특별자치도,삼척시
51720,51,강원특별자치도,홍천군
51730,51,강원특별자치도,횡성군
51750,51,강원특별자치도,영월군
51760,51,강원특별자치도,평창군
51770,51,강원특별자치도,정선군
51780,51,강원특별자치도,철원군
51790,51,강원특별자치도,화천군
51800,51,강원특별자치도,양구군
51810,51,강원특별자치도,인제군
51820,51,강원특별자치도,고성군
51830,51,강원특별자치도,양양군
52110,52,전북특별자치도,전주시
52130,52,전북특별자치도,군산시
52140,52,전북특별자치도,익산시
52180,52,전북특별자치도,정읍시
52190,52,전북특별자치도,남원시
52210,52,전북특별자치도,김제시
52710,52,전북특별자치도,완주군
52720,52,전북특별자치도,진안군
52730,52,전북특별자치도,무주군
52740,52,전북특별자치도,장수군
52750,52,전북특별자치도,임실군
52770,52,전북특별자치도,순창군
52790,52,전북특별자치도,고창군
52800,52,전북특별자치도,부안군
